,Line number,Station number,Datetime,time stamp (ms),conductivity (mS/m),In-phase (ppt),Latitude (deg),Longitude (deg),Altitude (m)
2545,0,0.0,2025-01-24 13:48:45.200560-07:00,65479512,-0.1,-25.1,39.751153977449114,-105.22183260891558,1762.4264114114114
2546,0,0.0,2025-01-24 13:48:45.200739-07:00,65479691,-0.1,-25.5,39.75115497338672,-105.22183081324157,1762.4172732732732
2547,0,0.0,2025-01-24 13:48:45.200918-07:00,65479870,-0.1,-25.900000000000002,39.75115596932432,-105.22182901756756,1762.4081351351351
2548,0,0.0,2025-01-24 13:48:46.200113-07:00,65480064,-0.1,-26.1,39.75115699463911,-105.22182704404364,1762.4082263779528
2549,0,0.0,2025-01-24 13:48:46.200276-07:00,65480227,-0.0925,-26.475,39.75115782354331,-105.22182536938976,1762.4143228346456
2550,0,0.0,2025-01-24 13:48:46.200455-07:00,65480406,-0.09,-26.5,39.75115873381234,-105.22182353035268,1762.4210177165355
2551,0,0.0,2025-01-24 13:48:46.200634-07:00,65480585,-0.09,-26.3,39.75115964408137,-105.22182169131561,1762.4277125984252
2552,0,0.0,2025-01-24 13:48:46.200812-07:00,65480763,-0.09,-26.6,39.751160549265094,-105.2218198625525,1762.4343700787401
2553,0,0.0,2025-01-24 13:48:46.200991-07:00,65480942,-0.09,-26.8,39.751161459534124,-105.22181802351541,1762.44106496063
2554,0,0.0,2025-01-24 13:48:47.200154-07:00,65481121,-0.095,-26.925,39.751162353022316,-105.22181620349897,1762.4395010141989
2555,0,0.0,2025-01-24 13:48:47.200333-07:00,65481300,-0.1,-27.400000000000002,39.751163243786344,-105.22181438657032,1762.4365963488844
2556,0,0.0,2025-01-24 13:48:47.200512-07:00,65481479,-0.1,-28.025000000000002,39.75116413455037,-105.22181256964164,1762.43369168357
2557,0,0.0,2025-01-24 13:48:47.200691-07:00,65481658,-0.1,-28.175,39.75116502531441,-105.22181075271297,1762.4307870182556
2558,0,0.0,2025-01-24 13:48:47.200869-07:00,65481836,-0.1,-28.3,39.7511659111021,-105.22180894593475,1762.4278985801216
2559,0,0.0,2025-01-24 13:48:47.201048-07:00,65482015,-0.1,-28.400000000000002,39.75116679898028,-105.2218071261033,1762.4236990972918
2560,0,0.0,2025-01-24 13:48:48.200241-07:00,65482194,-0.0925,-28.400000000000002,39.751167681412575,-105.22180530079405,1762.4170561685055
2561,0,0.0,2025-01-24 13:48:48.200420-07:00,65482373,-0.09,-28.400000000000002,39.75116856384487,-105.22180347548479,1762.410413239719
2562,0,0.0,2025-01-24 13:48:48.200598-07:00,65482551,-0.09,-28.8,39.75116944134738,-105.22180166037279,1762.4038074222667
2563,0,0.0,2025-01-24 13:48:48.200777-07:00,65482730,-0.09,-29.1,39.751170323779675,-105.22179983506352,1762.3971644934804
2564,0,0.0,2025-01-24 13:48:48.200956-07:00,65482909,-0.09,-29.3,39.75117120621197,-105.22179800975427,1762.390521564694
2565,0,0.0,2025-01-24 13:48:49.200138-07:00,65483088,-0.08750000000000001,-29.5,39.751171977594815,-105.2217963576547,1762.3899640718562
2566,0,0.0,2025-01-24 13:48:49.200317-07:00,65483267,-0.09,-29.900000000000002,39.7511727159847,-105.22179475701597,1762.3912145708582
2567,0,0.0,2025-01-24 13:48:49.200496-07:00,65483446,-0.09,-30.0,39.75117345437459,-105.22179315637725,1762.3924650698602
2568,0,0.0,2025-01-24 13:48:49.200675-07:00,65483625,-0.09,-30.400000000000002,39.75117419276447,-105.22179155573852,1762.3937155688623
2569,0,0.0,2025-01-24 13:48:49.200854-07:00,65483804,-0.09,-31.025000000000002,39.75117493115436,-105.22178995509981,1762.3949660678643
2570,0,0.0,2025-01-24 13:48:49.201033-07:00,65483983,-0.09,-31.650000000000002,39.751175709854856,-105.2217883220287,1762.3956586586587
2571,0,0.0,2025-01-24 13:48:50.200210-07:00,65484162,-0.09,-31.825000000000003,39.75117668100601,-105.22178653411912,1762.3936876876876
2572,0,0.0,2025-01-24 13:48:50.200388-07:00,65484340,-0.09,-32.1,39.75117764673173,-105.22178475619786,1762.3917277277278
2573,0,0.0,2025-01-24 13:48:50.200567-07:00,65484519,-0.09,-32.300000000000004,39.751178617882886,-105.2217829682883,1762.3897567567567
2574,0,0.0,2025-01-24 13:48:50.200746-07:00,65484698,-0.09,-32.300000000000004,39.75117958903404,-105.22178118037871,1762.3877857857858
2575,0,0.0,2025-01-24 13:48:50.200925-07:00,65484877,-0.09,-32.7,39.75118056018519,-105.22177939246913,1762.3858148148147
2576,0,0.0,2025-01-24 13:48:51.200111-07:00,65485062,-0.09,-33.275,39.751181646383465,-105.22177761614095,1762.3773037109374
2577,0,0.0,2025-01-24 13:48:51.200284-07:00,65485235,-0.09,-33.300000000000004,39.75118271355469,-105.22177599961589,1762.3653085937501
2578,0,0.0,2025-01-24 13:48:51.200463-07:00,65485414,-0.09,-33.300000000000004,39.75118381773763,-105.22177432702637,1762.3528974609376
2579,0,0.0,2025-01-24 13:48:51.200642-07:00,65485593,-0.09,-33.2,39.751184921920576,-105.22177265443685,1762.340486328125
2580,0,0.0,2025-01-24 13:48:51.200821-07:00,65485772,-0.0825,-32.725,39.75118602610352,-105.22177098184733,1762.3280751953125
2581,0,0.0,2025-01-24 13:48:51.201000-07:00,65485951,-0.08,-32.300000000000004,39.75118713028646,-105.22176930925782,1762.3156640625
2582,0,0.0,2025-01-24 13:48:52.200154-07:00,65486129,-0.08,-32.15,39.75118804570893,-105.22176757308112,1762.3113231083846
2583,0,0.0,2025-01-24 13:48:52.200333-07:00,65486308,-0.08,-31.625,39.75118893765848,-105.22176581572086,1762.3082116564417
2584,0,0.0,2025-01-24 13:48:52.200512-07:00,65486487,-0.08,-31.25,39.751189829608045,-105.2217640583606,1762.305100204499
2585,0,0.0,2025-01-24 13:48:52.200691-07:00,65486666,-0.08,-31.1,39.7511907215576,-105.22176230100034,1762.3019887525563
2586,0,0.0,2025-01-24 13:48:52.200870-07:00,65486845,-0.08750000000000001,-30.975,39.75119161350715,-105.22176054364007,1762.2988773006136
2587,0,0.0,2025-01-24 13:48:52.201048-07:00,65487023,-0.09,-30.400000000000002,39.751192466666666,-105.22175889486667,1762.2965100000001
2588,0,0.0,2025-01-24 13:48:53.200249-07:00,65487202,-0.09,-29.950000000000003,39.75119327216667,-105.22175739007334,1762.295257
2589,0,0.0,2025-01-24 13:48:53.200429-07:00,65487382,-0.09,-30.0,39.75119408216666,-105.22175587687333,1762.293997
2590,0,0.0,2025-01-24 13:48:53.200607-07:00,65487560,-0.1,-29.85,39.75119488316667,-105.22175438048666,1762.292751
2591,0,0.0,2025-01-24 13:48:53.200786-07:00,65487739,-0.1,-29.3,39.75119568866667,-105.22175287569333,1762.291498
2592,0,0.0,2025-01-24 13:48:53.200965-07:00,65487918,-0.1,-29.0,39.75119649416667,-105.2217513709,1762.290245
2593,0,0.0,2025-01-24 13:48:54.200144-07:00,65488097,-0.1,-29.200000000000003,39.751197446621624,-105.22174970225225,1762.2801981981981
2594,0,0.0,2025-01-24 13:48:54.200324-07:00,65488277,-0.1,-29.1,39.751198440315314,-105.22174798423423,1762.267945945946
2595,0,0.0,2025-01-24 13:48:54.200502-07:00,65488455,-0.1,-29.5,39.751199422967964,-105.2217462853053,1762.2558298298297
2596,0,0.0,2025-01-24 13:48:54.200681-07:00,65488634,-0.1,-30.375,39.75120041114114,-105.22174457683182,1762.2436456456455
2597,0,0.0,2025-01-24 13:48:54.200860-07:00,65488813,-0.1,-31.1,39.75120139931431,-105.22174286835835,1762.2314614614615
2598,0,0.0,2025-01-24 13:48:54.201039-07:00,65488992,-0.1,-31.575000000000003,39.75120237925408,-105.22174116064768,1762.2216803196802
2599,0,0.0,2025-01-24 13:48:55.200218-07:00,65489170,-0.1,-32.1,39.751203325268065,-105.22173946511322,1762.2202577422577
2600,0,0.0,2025-01-24 13:48:55.200397-07:00,65489349,-0.1,-32.4,39.75120427659674,-105.22173776005327,1762.218827172827
2601,0,0.0,2025-01-24 13:48:55.200576-07:00,65489528,-0.1,-32.5,39.751205227925404,-105.22173605499334,1762.2173966033965
