,Line number,Station number,marked,Datetime,time stamp (ms),conductivity (mS/m)
928,0,0.0,0,2025-01-24 13:57:43.848272,82337295,20.4775
929,0,0.0,0,2025-01-24 13:57:43.848460,82337483,20.4775
930,0,0.0,0,2025-01-24 13:57:43.848649,82337672,20.4775
931,0,0.0,0,2025-01-24 13:57:43.848837,82337860,20.4775
932,0,0.0,0,2025-01-24 13:57:43.849026,82338049,20.4775
933,0,0.0,0,2025-01-24 13:57:43.849214,82338237,20.4775
934,0,0.0,0,2025-01-24 13:57:43.849403,82338426,20.4775
935,0,0.0,0,2025-01-24 13:57:43.849591,82338614,20.4775
936,0,0.0,0,2025-01-24 13:57:43.849779,82338802,20.4775
937,0,0.0,0,2025-01-24 13:57:43.849968,82338991,20.4775
938,0,0.0,0,2025-01-24 13:57:43.850156,82339179,20.4775
939,0,0.0,0,2025-01-24 13:57:43.850345,82339368,20.4775
940,0,0.0,0,2025-01-24 13:57:43.850533,82339556,20.4775
941,0,0.0,0,2025-01-24 13:57:43.850721,82339744,20.4775
942,0,0.0,0,2025-01-24 13:57:43.850909,82339932,20.4775
943,0,0.0,0,2025-01-24 13:57:43.851098,82340121,20.4775
944,0,0.0,0,2025-01-24 13:57:43.851286,82340309,20.4775
945,0,0.0,0,2025-01-24 13:57:43.851475,82340498,20.4775
946,0,0.0,0,2025-01-24 13:57:43.851663,82340686,20.4775
947,0,0.0,0,2025-01-24 13:57:43.851851,82340874,20.4775
948,0,0.0,0,2025-01-24 13:57:43.852040,82341063,20.4775
949,0,0.0,0,2025-01-24 13:57:43.852228,82341251,20.4775
950,0,0.0,0,2025-01-24 13:57:43.852416,82341439,20.4775
951,0,0.0,0,2025-01-24 13:57:43.852605,82341628,20.4775
952,0,0.0,0,2025-01-24 13:57:43.852793,82341816,20.4775
953,0,0.0,0,2025-01-24 13:57:43.852981,82342004,20.4775
954,0,0.0,0,2025-01-24 13:57:43.853170,82342193,20.4775
955,0,0.0,0,2025-01-24 13:57:43.853358,82342381,20.4775
956,0,0.0,0,2025-01-24 13:57:43.853546,82342569,20.4775
957,0,0.0,0,2025-01-24 13:57:43.853735,82342758,20.4775
958,0,0.0,0,2025-01-24 13:57:43.853923,82342946,20.4775
959,0,0.0,0,2025-01-24 13:57:43.854111,82343134,20.4775
960,0,0.0,0,2025-01-24 13:57:43.854300,82343323,20.4775
961,0,0.0,0,2025-01-24 13:57:43.854488,82343511,20.4775
962,0,0.0,0,2025-01-24 13:57:43.854677,82343700,20.4775
963,0,0.0,0,2025-01-24 13:57:43.854865,82343888,20.4775
964,0,0.0,0,2025-01-24 13:57:43.855053,82344076,20.4775
965,0,0.0,0,2025-01-24 13:57:43.855242,82344265,20.4775
966,0,0.0,0,2025-01-24 13:57:43.855430,82344453,20.4775
967,0,0.0,0,2025-01-24 13:57:43.855618,82344641,20.4775
968,0,0.0,0,2025-01-24 13:57:43.855807,82344830,20.4775
969,0,0.0,0,2025-01-24 13:57:43.855995,82345018,20.4775
970,0,0.0,0,2025-01-24 13:57:43.856183,82345206,20.4775
971,0,0.0,0,2025-01-24 13:57:43.856372,82345395,20.4775
972,0,0.0,0,2025-01-24 13:57:43.856560,82345583,20.4775
